JavaDate, DateTime, M/E Shaft Speed, M/E Cons Fuel Rack Pos., ME Fuel type, DG 1 electr. Power, DG 2 electr. Power, DG 3 electr. Power, ME FOC Noon, DG1 FOC Noon, DG2 FOC Noon, DG3 FOC Noon, Boiler FOC Noon, HFO Total Content, MDO Total Content, Trim PP [m], Ship Speed OG, GPS_Latitude, Lattitude NS, GPS_Longitude, Longitude EW, ME Shaft Speed, DG1.OpHours total, DG2.OpHours total, DG3.OpHours total, Boiler1 OpHours.total
1386621006000, 2013/12/10 03:30:06.000, 0, 26.3655014876271, 1, 0, 73.6616131179447, 85.6994319084212, 0, 0, 258.818791847804, 297.871510139364, 375.972229003906, 134.527908960073, 49.0730899302667, 0.499918866785775, 11.581622564798, 39.6875164302498, 1, 11946.8990290988, 0, 9.23052150126323E+19, 7366.9017963645, 7590.84436674043, 9250.48882396704, 5005.35518112113
1386621606000, 2013/12/10 03:40:06.000, 0, 27.5940644458393, 1, 0, 93.9491477448915, 97.4553414583273, 0, 0, 262.997303779752, 302.142391275915, 375.972229003906, 134.530192963855, 49.0078044957688, 0.611568265817811, 9.17431738206312, 38.3270659136645, 1, 11945.7826554652, 0, 9.23052150126323E+19, 7366.9017963645, 7591.01116653387, 9250.65562376047, 5005.35518112113
1386622206000, 2013/12/10 03:50:06.000, 0, 26.8380796578203, 1, 0, 82.1217738012201, 89.1514645043281, 0, 0, 267.138098050756, 306.556008565574, 376.012485634614, 134.509534821264, 48.9116061786599, 0.708999991416931, 4.17101435514486, 37.4527575030604, 1, 11944.9963532272, 0, 9.23052150126323E+19, 7366.9017963645, 7591.17777890937, 9250.82223613597, 5005.35652304159
1386622806000, 2013/12/10 04:00:06.000, 0, 26.6579189300537, 1, 0, 68.9336531959376, 87.6296200624533, 0, 0, 270.930521958757, 310.647282831946, 380.176667721809, 134.380460405226, 48.8348686655658, 0.708999991416931, 2.29093200587557, 37.0643794617524, 1, 11944.6835986815, 0, 9.23052150126323E+19, 7366.9017963645, 7591.3443466023, 9250.9888038289, 5005.52058133921
1386623406000, 2013/12/10 04:10:06.000, 0, 26.6151924133301, 1, 0, 76.8362320513746, 78.8339502529635, 0, 0, 274.804402796101, 314.802603380084, 384.34140768998, 134.5450017268, 49.0644449045068, 0.788999974727631, 1.29999995231628, 36.8884624026901, 1, 11944.4730963648, 0, 9.23052150126323E+19, 7366.9017963645, 7591.5134751906, 9251.1579324172, 5005.68970992751
1386624006000, 2013/12/10 04:20:06.000, 0, 27.0840911172438, 1, 0, 95.7015014589215, 96.6415364867783, 0, 0, 278.993839443856, 319.155999892392, 388.509274735026, 134.524628716752, 48.9358620254834, 0.819000005722046, 7.85334729509249, 37.0592872449599, 1, 11943.9828529782, 0, 9.23052150126323E+19, 7366.9017963645, 7591.67765048514, 9251.32210771175, 5005.85388522206
1386624606000, 2013/12/10 04:30:06.000, 0, 27.0613576694743, 1, 0, 99.0099564591658, 99.8459808924571, 0, 0, 283.338170416056, 323.587090436717, 389.861114501953, 134.345340134288, 48.892240558905, 0.718999981880188, 10.2097526531358, 37.6541842649262, 1, 11942.5409967556, 0, 9.23052150126323E+19, 7366.9017963645, 7591.84446075914, 9251.48891798574, 5005.910736692
1386625206000, 2013/12/10 04:40:06.000, 0, 27.1029625370971, 1, 0, 97.5913903095723, 104.891087442139, 0, 0, 287.851453684685, 328.248433681313, 389.861114501953, 134.391945899572, 48.9852529807462, 0.690724867285646, 10.8999996185303, 38.496508611267, 1, 11941.0051293558, 0, 9.23052150126323E+19, 7366.9017963645, 7592.01093934502, 9251.65539657162, 5005.910736692
1386625806000, 2013/12/10 04:50:06.000, 0, 27.1029273530973, 1, 0, 101.171786937679, 107.138282775879, 0, 0, 292.444033500087, 332.989696646196, 389.861114501953, 134.213073662277, 49.0622433105532, 0.629000008106232, 11.6092010756761, 38.9804713325432, 1, 11939.1995454747, 0, 9.23052150126323E+19, 7366.9017963645, 7592.17770209243, 9251.82215931904, 5005.910736692
1386626406000, 2013/12/10 05:00:06.000, 0, 27.0596676084556, 1, 0, 70.9965885493789, 89.7240753098564, 0, 0, 296.531260305742, 337.372991864582, 389.861114501953, 134.136498088874, 48.9746602702278, 0.629000008106232, 12, 39.519622978039, 1, 11937.2993684339, 0, 9.23052150126323E+19, 7366.9017963645, 7592.3444706541, 9251.98892788071, 5005.910736692
1386627006000, 2013/12/10 05:10:06.000, 0, 29.2452462508177, 1, 0, 79.1278039078979, 95.3467487060385, 0, 0, 300.517495387834, 341.828329292497, 389.861114501953, 133.944692654434, 48.9386136885536, 0.629000008106232, 11.9090226974264, 40.4438831053397, 1, 11935.6112320852, 0, 9.23052150126323E+19, 7366.9017963645, 7592.51100581863, 9252.15546304524, 5005.910736692
1386627606000, 2013/12/10 05:20:06.000, 0, 29.2071598143207, 1, 0, 83.3811571952352, 92.1749876561, 0, 0, 304.491103965395, 346.228322830027, 389.861114501953, 133.845862621253, 48.9829552191506, 0.629000008106232, 11.6999998092651, 42.0342990042244, 1, 11934.4195837835, 0, 9.23052150126323E+19, 7366.9017963645, 7592.67760562253, 9252.32206284913, 5005.910736692
1386628206000, 2013/12/10 05:30:06.000, 0, 29.2685422869136, 1, 0, 100.626560955601, 105.306826213788, 0, 0, 308.340597342685, 350.501424766881, 389.861114501953, 134.04706542181, 49.0172116907871, 0.629000008106232, 11.7903907636755, 43.6085597729898, 1, 11933.2672469915, 0, 9.23052150126323E+19, 7366.9017963645, 7592.84443688623, 9252.48889411283, 5005.910736692
1386628806000, 2013/12/10 05:40:06.000, 0, 29.3741890598895, 1, 0, 104.711757343861, 105.547761849058, 0, 0, 313.079255289641, 355.366113647172, 389.861114501953, 133.688018798828, 48.9644960226359, 0.629000008106232, 11.3000001907349, 45.1302344302174, 1, 11932.0867610859, 0, 9.23052150126323E+19, 7366.9017963645, 7593.01093654759, 9252.6553937742, 5005.910736692
1386629406000, 2013/12/10 05:50:06.000, 0, 26.365534995411, 1, 0, 85.4635632000944, 103.285264578515, 0, 0, 317.586469489761, 359.970038419897, 389.861114501953, 133.722886068546, 48.9399050632843, 0.645816503242177, 7.23183510918266, 46.487799475155, 1, 11931.0061336653, 0, 9.23052150126323E+19, 7366.9017963645, 7593.1777916419, 9252.8222488685, 5005.910736692
